org_name,last_updated,neighborhood,address,latitude,longitude,site_updates,currently_open_for_receiving,opening_for_receiving,closing_for_receiving,currently_open_for_distributing,opening_for_distributing,closing_for_distributing,urgent_need,accepting,not_accepting,seeking_volunteers,seeking_translators,hot_meals,legal_support,covid_testing,pet_vaccination_health,pet_food,housing_support,food_delivery,wheelchair_accessible,elder,youth,baby_toddler,immigration_naturalization,eye_exams,dental,transportation_vouchers,clothing,insurance_not_needed,refugee_services,vaccinations_general,mental_health_services,healing_resources,art_resources,community_service,education,lgbtqia_supportive,qtibpoc_supportive,trans_supportive,black_run,indigenous_owned,community_run,spanish_speaking,somali_speaking,karen_speaking,memorial_space,medic_on_site,protest,seeking_money,seeking_money_url,delivery_only,distribution_to_residents_only,restricted_distribution,produce,household_supplies,needle_exchange,warming_site,no_id_needed,some_info_required,by_appointment,black_own,indigenous_run,public_transit,COVID_Vaccination
Free Grace United: Downtown Minneapolis,5/17/2023 10:17am,Ventura Village,"609 S 10th St, Minneapolis, MN 55404",44.9701611,-93.2662078,"Hot meal served every 
Saturday: 4:30pm
Sunday: after each service.

Also giving away donated food each week.

Worship service and short message each:
Saturday: 5:00pm 
Sunday: 10:30 and 4:00pm

The food we offer is completely free and the service is completely optional. We serve a hot meal, but we also have pallets of food to give away.

https://freegrace.tv/locations/minneapolis/
https://freegrace.tv/locations/minneapolis-downtown-sun/  `",no,----,,no,----,,,,,"(as of 1/5)
Yes, email office@freegrace.tv for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9-BUS-(1 block),5-BUS-(2 blocks),19-BUS-(3 blocks)",
Free Grace United: North Minneapolis,4/5/2023 11:16am,Jordan,"1423 Lowry Ave N, Minneapolis, MN 55411",45.0129983,-93.2976462,"Hot meal served on Saturday after service at 5:00pm.

https://freegrace.tv/locations/minneapolis-north/",no,----,,no,----,,,,,"(as of 1/5)
Yes, email office@freegrace.tv for details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,"5-BUS-(1 block),32-BUS-(1 block)",
Fruit of the Vine Food Shelf,4/10/2024 11:56am,Payne-Phalen,"1280 Arcade St, St Paul, MN 55106",44.9798231,-93.0653229,"Food shelf open Tuesdays, 3-6pm
Fridays, 11 am-1 pm (crisis orders only)
Saturdays, 9am-12pm (or when food runs out, often around 11:30am)

Fresh dairy products, meats, produce, and breads, plus personal care and pantry goods. We can provide each household with food twice per month and there needs to be an adult to receive food on behalf of each household. More information here about what to expect: https://vcsmn.org/services

Guidelines for pickup:
1. Wear a mask
2. Observe 6 feet social distancing
3. Use hand sanitizer, available upon entering
4. One person per household is allowed in to pick up the food

First time participants are asked to bring an ID. Knowing that not everyone has proper ID, we do not turn away people without.

Los voluntarios hablan inglés y / o español.
https://www.facebook.com/VCSMN  ",no,----,,no,----,,,,,(as of 04/2023) Yes - more info here: https://vcsmn.org/volunteering/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,,,,,"61-BUS-(1 block),54-BUS-(3 blocks)",
Glendale Food Shelf (East Side Neighborhood Services),4/10/2024 10:49am,Prospect Park - East River Road,"92 St Mary's Ave SE, Minneapolis, MN 55414",44.9689616,-93.2191103,"Hours of operation: 
Monday: 11am-4pm
Tuesday:  1pm-6pm
Wednesday:  1pm-6pm
Thursday:  11am-4pm

Must be a resident of Glendale Townhomes. Income must be at or below 300% of federal poverty guidelines (self-declared). Each family completes an enrollment form providing names and ages of each person in the household.

We offer a wide variety of food items, including fresh fruits and vegetables and culturally-specific foods that are staples to the diets of community members. Each family member is eligible to receive a monthly allocation of 25 pounds of food. Participants can shop multiple times during the month until the total household food allocation is reached.

Email rhaarsager@esns.org or call 612-788-9521 to arrange time and location to drop off donations",no,----,,no,----,,,"Personal care, household & paper items: 
Toilet paper, tissue, paper towels, toothpaste, hand soap, deodorant, shampoo, diapers, laundry detergent

Non-perishable food: 
Juices, canned meats, stews, chilis, other canned meals, healthy snack items, rice, pasta, boxed meals, cooking oil, pasta sauce",,"Yes: 
We need 6 volunteers at the Food Programs warehouse on Mondays to start building boxes for the week.

To sign up: you may call or email Gina (612-788-9521 | gwilliams@esns.org) or Rob (612-787-4111 | rhaarsager@esns.org).",,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.esns.org/donate,,,,checked,checked,,,,,,,,"6-BUS-(3 blocks),Green-GREENLINE-(3 blocks)",
Golden Rule,10/24/2022 3:42pm,West Suburbs,"350 Water St, Excelsior, MN 55331",44.9016374,-93.5683593,"Monday- Saturday, 10 am-5 pm, during store hours.

Collecting non-perishables and toiletries every day during shop hours for redistribution to resource sites where they're needed.",no,----,,no,----,,,"(as of 1/24 3:44pm) non-perishable food items, toiletries  ",(as of 6/27) perishable or refrigerated goods,(as of 1/27) No volunteers needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,,,,,670 Express-BUS-(1 block),
Good Works Food Shelf,4/4/2024 12:16pm,Logan Park,"697 13th Ave NE, Minneapolis, MN 55413",45.0012567,-93.2529711,"Food shelf is open to all who qualify
on Fridays, 3pm-6pm.
Guests are allowed to use the pantry twice a month. All guests are welcome to use the table items during operating hours on Fridays. Donations accepted during open hours.
https://linktr.ee/goodworksfoodshelf

1st Thursday of the month: West African Food Pantry, 5:00pm-6:30pm
On those days, we will only offer West African food, and will not have our regular food shelf offerings. Food must be pre-ordered between 9am and 3pm on that Thursday. More info here: https://goodworksfoodshelf.org/waefp/

Food Delivery Services is available for neighbors who are unable to come into the food shelf. You MUST be preapproved for Food Delivery Services by our Team. Every Friday we will deliver online food orders received latest by Thursday for approved orders within the 55413 and 55418 zip code. Delivery Services will be on Fridays between 4 – 7pm CST. Request delivery here: https://goodworksfoodshelf.org/delivery-form/",no,----,,no,----,,,"Spices (all types), cooking oils, pasta (all types), laundry detergent, body wash, toilet paper, hand soap, dish soap, pancake mix and syrup, cereal (all types), flour for baking

Financial donations at https://www.givemn.org/story/Gwfoodshelf and https://www.givemn.org/story/Waefp ",,Yes! Sign up here: https://linktr.ee/goodworksfoodshelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.givemn.org/story/Gwfoodshelf,,,,checked,,,,,,,,,"17-BUS-(2 blocks),30-BUS-(2 blocks)",
Grace Center for Community Life - Little Kitchen Food Shelf,7/19/2023 12:27pm,Logan Park,"1500 6th Street NE, Minneapolis, MN 55413",45.0039944,-93.2592830,"Food shelf hours: 
Tuesday and Thursday: 6:00pm-7:30pm  
Wednesday and Friday 10:00am-12:00pm

People are welcome to come to the food shelf once every 30 days. Pre-registration is required. No zip code or ID requirements. Please call 612-788-2444 between 9 am and 11 am Monday through Friday to register.

No-contact pick-up service of groceries, fresh produce, and personal hygiene items. Pet food is available on request. Enter at the corner of 5th & 15th streets (in the former Holland school building).",no,----,,no,----,,,"If you would like to directly donate food or other supplies, please email our administrator, admin@gracenempls.org, to set up a time to drop them off.",,"Yes! call and listen to the recording and ask for the administrator to get volunteer hours -- 612-788-2444.  Or, email admin@gracenempls.org.",,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,checked,,,checked,checked,,,,"17-BUS-(1 block),11-BUS-(4 blocks)",
Grease Pit Community Bicycle Shop,6/7/2023 11:01am,Phillips,"2750 Bloomington Ave S, Minneapolis, MN 55407",44.9521439,-93.2530393,"Free DIY bicycle repair!

Monday: closed
Tuesday: closed
Wednesday: open 6:00pm-9:00pm
Thursday: open 6:00pm-9:00pm
Friday: closed
Saturday: open 3:00pm-6:00pm
Sunday: open 3:00pm-6:00pm

Used bicycle parts available sliding scale. Cheap used bicycles for sale. We also accept work trade as a form of payment for parts.

Contact via Instagram @greasepitbikeshop",no,----,,no,----,,,"Bicycles, Bicycle parts, and firewood donations accepted. Anytime, preferably 12-9 Saturday and Sunday. Can leave outside of door. ",PLEASE DO NOT DROP FOOD OFF HERE. The Phillips Free store is no longer operating out of the Grease Pit Community Bicycle Shop. Please refer to their hours for donation.,"Yes. Volunteers needed for teaching bicycle repair and shop maintenance. Come to shop 3-6pm Saturday and Sunday, or  contact via Instagram @greasepitbikeshop",,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,checked,,,,,,,,,,,,,,,,checked,,,,,"14-BUS-(1 block),27-BUS-(1 block)",
Greater Mount Vernon MBC Community Food Bank,4/12/2023 11:18am,Near North,"1800 Dupont Ave, Minneapolis, MN 55411",44.9976191,-93.2923335,"Distributing food Saturdays: 11:15am-1:00pm.

No identification necessary, but some household questions may be asked strictly for statistical purposes.  http://gmvchurch.com/ ",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,"14-BUS-(1 block),30-BUS-(1 block),5-BUS-(1 block),22-BUS-(3 blocks)",
Groveland Emergency Food Shelf,8/16/2023 11:28am,Stevens Square,"1900 Nicollet Ave, Minneapolis, MN 55403",44.9634642,-93.2784508,"Accepting and distributing donations 
M-F from 9:30am to 12:00pm. 

The shelf is accepting donations of all kinds that can be used by a family - all non-perishable food, toiletries, household products.
Call 612-871-0277 to schedule large donations.

The food shelf is on Groveland Avenue between Nicollet and Lasalle (Temporary entrance on Nicollet Ave). Hosted in the basement of Plymouth Congregational Church. Delivery is available for individuals who are housebound due to disability

Also is a partner of People & Pets Together that helps families facing economic hardship by providing pet food to food shelves in the Minneapolis-St. Paul metropolitan area

https://www.grovelandfoodshelf.org/index.php ",no,----,,no,----,,"(as of 8/29) coffee, cooking oil, canned meats and fish, beans, and peanut butter.","(as of 8/29)
All non-perishable food items such as gravy mixes, cereal, flour, sugar, canned foods, meal starters, cake mix. 

Fresh food or large shipments by appointment.  

Personal hygiene items such as toothbrushes, toothpaste, and hair care as well as household items such as dish soap, laundry detergent, toilet paper and paper towels","(as of 8/29)
No opened items or partially used products. If you have fresh fruit or meat donations, give us a call to see if we can accept them","(as of 8/29) 
Find volunteering info at https://www.grovelandfoodshelf.org/volunteer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.givemn.org/organization/Groveland-Emergency-Food-Shelf,,,,,,,,checked,,,,,"2-BUS-(1 block),17-BUS-(1 block),18-BUS-(1 block)",
Hallie Q. Brown Community Center,8/1/2022 7:37pm,Summit-University,"270 N Kent St, St Paul, MN 55102",44.9493920,-93.1229610,"Open for donation and distribution every week. Monday - Friday: 9am - 5pm
Saturday & Sunday: CLOSED

Anyone dropping off donations should CALL AHEAD. The public is not permitted inside the building. Employees will meet donors and clients OUTSIDE the front doors. Free masks are available at the Center. (651)-224-4601  https://www.hallieqbrown.org 

They are working with a client choice model. It is preferred, but not required, that people needing assistance fill out the linked online form. This helps the food shelf serve clients with specific needs faster and helps manage the flow for distribution. Please use the form linked here: https://bit.ly/2BTCy4v. You may also call to make the requests for specific needs: (651)-224-4601.

Also is a partner of People & Pets Together that helps families facing economic hardship by providing pet food to food shelves in the Minneapolis-St. Paul metropolitan area",no,----,,no,----,,,"(as of 2/21) Oatmeal, Peanut Butter, Rice, Dried Beans, Cornbread and Pancake Mix, Pasta Sauce, Coconut Milk, Pasta, Canned Vegetables, Flour (White, Wheat, Gluten-Free), Sugar, Vegetable/Olive Oil, Granola/Cereal Bars, Toilet Paper, Paper Towels, Disinfectant Wipes, All-Purpose Cleaner, Shampoo, Conditioner, Body Lotion, Body Wash, Toothpaste, Toothbrushes, Laundry Detergent Pods, Hand Soap, Soup (Variety), Baby Food, Canned Meat (Tuna, Sardines, Chicken), Sunscreen, Boxed Noodles, Boxed Mashed Potatoes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,checked,,,,,"65-BUS-(1 block),21-BUS-(3 blocks)",
Hancock Recreation Center,4/10/2024 12:39pm,Midway,"1610 Hubbard Ave, St Paul, MN 55104",44.9647334,-93.1683124,"Distribution: 
Food boxes will be available every Wednesday from 12:00pm-2:00pm.

Free snacks for Saint Paul youth (18 and under), 6/19-8/17 (closed July 3 and 4):
Snacks: 2:30pm-3:30pm

Donations accepted here:
Wednesdays: 9:00am - 11:00am

Donations also accepted at: 
Ginkgo Coffeehouse: during business hours
Great River School: Monday - Friday, 9am-3pm

Monetary donations: https://bit.ly/3kJwiht                                                                                                                                                                                                                     
Checks can be made out to Hamline Midway Coalition, with ""Midway Project"" on the memo line and sent to:
Hamline Midway Coalition
1558 West Minnehaha Avenue
Saint Paul, MN 55104",no,----,,no,----,,"household care items and diapers (sizes 5/6)
","baby diapers, wipes, formula | bar soap, shampoo, conditioner, toothpaste, toothbrushes, deodorant, lotion, lip balm, menstrual care products, razors, shaving cream, laundry detergent pods, all-purpose cleaning spray, dish soap, hand soap, garbage bags, paper towels, toilet paper, facial tissue",,"Learn more and sign up at https://www.hamlinemidway.org/TheMidwayProject
Volunteers must be at least 16 years old. Please bring a mask and work gloves if you have them. Masks and vinyl gloves will be available for volunteers on site. Water and snacks will be provided.  

Tasks for volunteers will be a mixture of both inside and outside work, alternating between them to accommodate for cold and inclement weather. If you are more comfortable or need to work outside the whole time, this can be possible, weather dependent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,checked,,,,,"84-BUS-(1 block),A Line-BUS-(1 block),67-BUS-(3 blocks)",
Harm Reduction Sisters •••Delivery Only•••,6/30/2022 9:06pm,,"Duluth, MN",46.7866719,-92.1004852,"***Delivery only***
Delivery available 
Tuesday-Saturday 11am - 7pm 

Service available in Duluth, Superior, Cloquet, Fond Du Lac, Iron Range, Itasca, Koochiching and Lake County
Call or text (218) 206-6482 for delivery
https://harmreductionsisters.org/services ",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,checked,,,,,,,,
VeTouch: Pet Vaccine & Care Clinic,6/5/2024 8:36pm,Seward,"2501 Minnehaha Ave, Minneapolis, MN 55404",44.9570200,-93.2400900,"One Sunday per month (usually the first Sunday): 9am-1pm. We are an appointment-only clinic. Due to extremely high demand, VeTouch books appointments 2 months out. Our appointment request form (available over email: vetouch@umn.edu) opens the morning after our monthly clinic. When we are at capacity we do not accept any new appointment requests. 

Address: 2501 Minnehaha Ave, Minneapolis, MN 55404 (Chuck & Don’s Pet Wellness Center)
Parking: Street parking
Time: 9am-1pm
Dates: Clinics are typically the first Sunday of every month. Upcoming dates: May 5, 2024 (fully booked), June 2, 2024 (form opens May 6th at 8 am), and July 14, 2024 

Check-in will be at back of building

At Ve-TOUCH Clinics, University of Minnesota veterinary students provide free vaccines and preventatives for dogs and cats. We provide physical exams, rabies and distemper vaccines, and flea/tick/heartworm preventatives for no cost. WE DO NOT PROVIDE SPAYS/NEUTERS.

Since we only have 1 clinic per month and are not a full-service veterinary clinic, we are unable to see sick pets or pets with serious veterinary conditions.

- Maximum of 2 pets per owner at one clinic.
- Pets must be on a leash or in a carrier. 
- Animals older than 1 year must be spayed or neutered after their first visit to VeTouch to be seen a second time.
- We will not accommodate pets that are used for breeding, and will not accommodate their litters of puppies/kittens 

To qualify for VeTouch services, clients need to be receiving some form of public assistance. Options for qualification include: 
- Food Stamps 
- Currently unhoused
- Free or Reduced Lunch Program
- HUD Section 8 Housing
- Major V. A. Disability
- Medicaid
- Medical Assistance
- Minnesota Care
- SSD
- SSI
- Temporary Assistance for Needy Families
- WIC
- A family of four making under $40,000 per year

Email: vetouch@umn.edu
Phone: ‪(612) 440-6147 (phone messages are checked weekly on Saturdays)
Website: https://vetouch.umn.edu/",no,----,,no,----,,,,,,,,,checked,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,checked,checked,,,,"14-BUS-(1 block),23-BUS-(2 blocks)",
His House Foundation •••By Appointment Only•••,3/8/2023 8:10pm,SW Suburbs,"115 E 4th St, Chaska, MN 55318",44.7877788,-93.6002943,"Accepting and distributing food and household items by appointment only. For more information, call Martha Brannon at 612-325-4693.

Donations can be left at Mount Calvary Lutheran Church, 301 Oak Street, Excelsior",no,----,,no,----,,,"(as of 03/2023) Needed items for families:
-Paper products and cleaning supplies
-Fabric masks 
-Gas cards
-Uber cards
-Diapers and pullups
-Sweatpants, yoga pants, t-shirts and sweatshirts
-Personal care products for all family members
-Quarters / donations for laundry - many are living in motels and it costs approximately $25 for them to do their laundry
-Gift cards, especially grocery, gas and discount store",,"(as of 03/2023) Yes. Seeking 3-5 weekly volunteers for picking up food from restaurants and food shelves, maintaining resource center, and delivering food to hotels and apartments on weekdays from 3-5:30 pm. Volunteers must have a driver's license and be able to lift ~25 lbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.gofundme.com/f/funding-the-gap-for-covid19?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,,,,,,,,,,,,,,
Home Base Central: Donation Drive for Sanctuary Encampments,5/31/2024 12:14am,Uptown,"3101 Bryant Ave S, Minneapolis, MN 55408",44.9461045,-93.2903539,"Intermittent supply drives announced on social media, typically Sunday afternoons.

Home Base will continue to pick up donations and distribute them; email 
WeAreHomeBaseMN@gmail.com to arrange.

Financial donations will continue to be used to purchase necessities for our unhoused communities:
Donate:
Venmo: @Emilie-Valenti
Cashapp: $EmilieValenti

Home Base is raising funds to open a physical community and storage space. See GoFundMe for more details: https://www.gofundme.com/f/jwybz8-help-us-get-into-a-building 

----
Facebook: https://www.facebook.com/ThisIsHomeBase/ 
Instagram: https://www.instagram.com/homebasecentral/ ",no,not today,,no,not today,,"(as of May 4, 2024)

Large Tents
Large Tarps
Rope / paracord / bungee cords / zip ties
Sleeping bags / mats / pads
Blankets / bedding
New underwear (M / W)
Socks, socks, socks!
Personal hygiene items / kits
Water / Gatorade
Nutritious soft snacks
Batteries (all sizes)
Heavy duty garbage bags
Heavy duty paper towels

Financial donations","(as of May 4, 2024)

Also collecting items for 3rd annual GFGM Rise & Remember Festival on May 25, 2024:

Men's & Children's Clothing (all sizes)
Working small appliances:
- Crock pots
- Coffee makers
- Toasters
- Toaster ovens
- Air fryers
- Microwaves
- Humidifiers / dehumidifiers
- Standing / handheld mixers","please don't bring soiled or damaged items
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.gofundme.com/f/jwybz8-help-us-get-into-a-building,,,,,,,,,,,,,4-BUS-(1 block),
Hope 4 Youth Drop-in Center,3/6/2023 10:55am,NW Suburbs,"2665 4th Avenue North, Suite 40, Anoka, MN 55303",45.2060270,-93.3853403,"Drop-in center hours for youth:
Mon: 11am - 7pm
Tue:  1pm - 7pm
Wed: 11am - 7pm
Thu: 11am - 7pm
Fri: 11am - 5pm

Donation receiving hours:
Wednesday and Saturday, 9am - 12pm

We support young people, ages 16 to 24, who are experiencing homelessness in the northern metro area. (If you are under 16 and need help, we can connect you to other service providers.) In addition to many basic-needs services, case management is also provided, linking youth to stable housing, health and wellness programs, education and employment.

Meals: We offer fully prepared meals to young people who use the center. A free lunch is currently available at noon on Mondays, Wednesdays and Fridays.  A free dinner is served weekdays between 5 and 6 p.m. Volunteers provide the meals, sometimes made from scratch and other times purchased at area restaurants.

Our 24-hour crisis line is available at 612.849.2561
In an emergency, call 911",no,----,,no,----,,,"(as of 03/2023)
Top needs: men's body wash, Hormel Compleats, women's deodorant, men's white t-shirts (S, M, L), pancake mix and syrup, cups and boxes of cereal, Yakisoba noodles, Gatorade, new bras (sizes A, B, C, and D), Cantu conditioner, body lotion, Annie Chun's noodle bowls

List of other needed items can be found here: https://www.hope4youthmn.org/donate-items

Target wishlist: https://www.target.com/gift-registry/gift-giver?registryId=3fd581e0-88ef-11eb-aeb7-e7a6b7efc582&type=CHARITY

Amazon wishlist: https://www.amazon.com/hz/wishlist/genericItemsPage/1RI3Z7CQW98R8

If dropping off items, please note that our donation center is located on the front side of our facility at 2665 4th Ave. N. in Anoka.  Park on Pleasant Street, and look for the HOPE 4 Youth sign by the wooden ramp. Please do NOT leave items outside our entrance when the donation center is not open.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805-BUS-(1 block),
Hope for the Community - Hope Church,3/8/2023 8:48pm,North Suburbs,"1264 109th Ave NE, Blaine, MN 55434",45.1674060,-93.2379611,"Drive-thru food pantry distribution every Thursday 9:30am-5:00pm. 

Food donations can be brought in during volunteer hours or left under the awning at any time.

**Note that this group has partnered with the police department for delivery.**",no,----,,no,----,,,"(as of 03/2023) We accept all food donations, which can be brought in during volunteer hours or left under the awning at any other time. Financial donations accepted at: https://hopeforthecommunity.com/donate/",,"(as of 03/2023) Yes.
In need of volunteers at the Blaine Location on Wednesdays from 12 - 2:30 p.m. and Thursdays from 9 a.m. - 5 p.m. 

Details: 
https://hopeforthecommunity.com/volunteer/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,,
Hope for the Community - Wagner Park,1/4/2024 6:56pm,SW Suburbs,"26518 France Avenue, Elko New Market, MN 55020",44.5654400,-93.3293800,"Distributing:
Drive-thru food pantry distribution every 1st and 3rd Wednesday of the month: 3:00pm-5:00pm. 

**Note that this group has partnered with the police department for delivery.**",no,----,,no,----,,,,,Find volunteer info at https://hopeforthecommunity.com/volunteer/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,,
510 Board and Lodge (Agate Housing and Services) -By Appointment Only-,7/19/2023 12:56pm,Elliot Park,"510 S 8th St, Minneapolis, MN 55404",44.9730828,-93.2655855,"Public Shower is open
Monday - Friday: 9am-1pm
Showers are available at no cost to the public at our residency location – 510 South 8th Street, Minneapolis. Upon arrival, guests check in at the front desk where they will receive a towel and soap.

Provides various lengths of stay and levels of service to single adults who have experienced long-term homelessness and are working to attain suitable long-term housing. This building has long-term, supportive housing and a 24-hour male shelter. All on-site housing participants are referred by the Hennepin County's Coordinated Entry system (hennepin.us/coordinated-entry.) All shelter guests must go through Adult Shelter Connect to reserve a bed (simpsonhousing.org/programs/adult-shelter-connect.)

Donations by appointment only at 2309 Nicollet Ave. Arrange drop-offs with Abby Abele at abigail.abele@agatemn.org or 612-715-0449
",no,----,,no,----,,"Toothpaste
Gift cards for groceries (Target, Walmart, Cub Foods)
Standard cleaning supplies
New Metro PCS phones
$10 gas cards

Clothing: men's underwear (M, L, XL, XXL), undershirts (M, L, XL, XXL and bigger), men's briefs (mostly L and XL, some M and S), women's underwear (mostly L and XL, some M and S), basketball shorts with pockets and a drawstring (L, XL, and XXL), 

Travel-sized Hygiene Kits: body washes, soap bars, toothbrushes, toothpaste, deodorant, razors, shaving cream, lotion, conditioner, full-sized menstrual products, hand towels, and gallon-sized Ziploc bags

","Currently accepting a wide variety of donations like hygienic products, dental products, clothing, and other items. These items must be new/unopened but clothing can be new to gently used. ",Cannot accept food donations except for non-perishable snack packs,"No, but for other volunteer opportunities contact Noah Chan at noah.chan@agatemn.org or 612-327-6389. You can also visit https://agatemn.volunteerhub.com/vv2/ to get started",,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,checked,,,"5-BUS-(1 block),14-BUS-(1 block),19-BUS-(1 block),94 Express-BUS-(1 block),353 Express-BUS-(1 block),363 Express-BUS-(1 block),721 Ltd Stop-BUS-(1 block),663 Express-Bus-(2 blocks),CLine-BUS-(2 blocks)",
Agate Housing and Services Food Centre,12/26/2023 2:38am,Elliot Park,"714 Park Ave, Minneapolis, MN 55404",44.9725720,-93.2632187,"Shelf of Hope Food Shelf open Wednesdays 10am - 1pm
Our public meal service is currently closed to the public, but will resume soon. 

Donations accepted by appointment: https://agatemn.org/donate/ 
Find additional resources at: https://agatemn.org/get-help/ 
Facebook: https://www.facebook.com/AgateServicesMN ",no,----,,no,----,,,"(as of 2023.06.11)
Form listing items accepted: https://forms.office.com/r/xiCM6UxAtc

Once you submit this form, someone from our team will reach out to schedule a drop-off at our 2309 Nicollet Ave S., Minneapolis MN, 55404 building. You can also contact our Community Organizer and In-Kind Donation Manager Abby Abele at abigail.abele@agatemn.org or 612-715-0449 if you have questions, or want to schedule an in-kind donation drop off directly.

Amazon Wishlist: https://smile.amazon.com/hz/charitylist/ls/RH07AIKBNGII/ref=smi_ext_lnk_lcl_cl",,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,checked,https://agatemn.org/donate/ ,,,,,,,,checked,,checked,,,"5-BUS-(1 block),14-BUS-(1 block),19-BUS-(1 block),94 Express-BUS-(1 block),353 Express-BUS-(1 block),363 Express-BUS-(1 block),721 Ltd Stop-BUS-(1 block),CLine-BUS-(1 block)",
ICA Food Shelf,1/11/2024 11:01pm,West Suburbs,"11588 K-Tel Dr, Minnetonka, MN 55343",44.9136270,-93.4265252,"ICA has historically served residents of Hopkins, Minnetonka, Excelsior, Shorewood, Deephaven, Greenwood, and Woodland. However, residency/documentation is not required: https://www.icafoodshelf.org/make-an-appointment

Open to receive donations: 
Monday: 10:00am - 6:30pm
Tuesday/Thursday: 10:00am - 3:30pm 
Wednesday: 9am - 3:30pm
Friday: 10am - 12pm
1st and 3rd Saturday of each month: 10am - 12pm

Open for distribution (by appointment):
Monday: 10am - 6:30pm
Tuesday: 10:00am - 3:30pm
Wednesday: 9:00am - 3:30pm
Thursday: 10:00am - 3:30pm
Friday: Closed
1st and 3rd Saturday of each month: 10am - 12pm

ICA's Food Shelf is a choice model food shelf, which means that when you visit ICA for a food appointment, you select the foods that you would like. Depending on the size of your household, you are able to choose a certain number of items from each section. Please call 952-938-0729 to make an appointment.

Emergency Bags are available without an appointment during operating hours at both ICA locations.

Some delivery is available - more info here: https://www.icafoodshelf.org/food

Also is a partner of People & Pets Together that helps families facing economic hardship by providing pet food to food shelves in the Minneapolis-St. Paul metropolitan area

Note: ICA does partner with local police.",no,----,,no,----,,,"Nonperishable foods, snacks, and household/cleaning products

More information here: https://www.icafoodshelf.org/donate-food","Please note, we cannot accept any home-canned or home-baked items.","(as of 01/2024)
Find volunteering info at https://www.icafoodshelf.org/volunteer-application",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,"12-BUS-(1 block),612-BUS-(1 block)",
iHelp MarketSquare - City of Reconciliation Church,4/10/2024 10:52am,Frogtown,"900 Dale St North, St Paul, MN 55117",44.9685697,-93.1259965,"Free produce distribution every 
Tuesday and Thursday from 2:00pm-4:00pm.
This site requires all visitors to present an ID

Schedule an appointment outside normal hours at 651-488-4463Website: https://ihelpmarketsquare.com  ",no,----,,no,----,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65-BUS-(1 block),67-BUS-(2 blocks)",
In 'n' Out- NorthPoint,10/4/2023 12:09pm,Hawthorne,"710 W Broadway Ave, Minneapolis, MN 55411",44.9999522,-93.2886172,"Distributing syringes, works, naloxone, hygiene kits available on the following days:
- Tuesdays and Wednesdays: 2pm - 5pm
- Thursdays and Fridays: 11am - 5pm. 

HIV/HCV testing on Fridays by appointment only, call 612-267-0305 for an appointment. 

Free walk-in counseling available on-sight (no paperwork or intake, just walk in and talk) on Tuesday at 2-5pm and Fridays at 11am-5pm

Located in the Sanctuary Resource Center on the NW corner of Lyndale and West Broadway. Ring the bell for In 'n' Out, contact 612-543-4580 to confirm hours. ",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,"22-BUS-(1 block),14-BUS-(2 blocks),30-BUS-(2 blocks)",
